,Manufacturer,Foundry,Architecture,Arbitrary Gen,Gen Year,FP32 (float) in GFLOPS,Memory Size (MB),Memory Type,Bus Width (bits),GPU clock (MHz),Memory clock (MHz),Process Size (nm),Transistors (millions),Density (M/mm²),Die Size (mm²),Max. TDP (W),Pixel Rate (GPixel/s),Texture Rate (GTexel/s),L2 Cache (KB),Shading Units
168,AMD,GlobalFoundries,GCN 4.0,6,2016,1371.0,2048.0,GDDR5,128,1019.0,1500.0,14.0,3000.0,24.4,123.0,80.0,17.14,42.84,1024.0,1024
169,AMD,GlobalFoundries,GCN 4.0,6,2016,2106.0,4096.0,GDDR5,128,1090.0,1500.0,14.0,3000.0,24.4,123.0,75.0,18.8,65.8,1024.0,1024
170,AMD,GlobalFoundries,GCN 4.0,6,2016,2611.0,4096.0,GDDR5,128,1175.0,1750.0,14.0,3000.0,24.4,123.0,75.0,20.4,81.6,1024.0,1024
171,AMD,GlobalFoundries,GCN 4.0,6,2016,5095.0,8192.0,GDDR5,256,1168.0,1750.0,14.0,5700.0,24.6,232.0,185.0,39.81,159.2,2048.0,2304
172,AMD,GlobalFoundries,GCN 4.0,6,2016,6175.0,8192.0,GDDR5,256,1257.0,2000.0,14.0,5700.0,24.6,232.0,185.0,42.88,193.0,2048.0,2304
173,AMD,TSMC,GCN 3.0,5,2014,786.4,2048.0,GDDR5,64,1024.0,1125.0,28.0,1550.0,12.4,125.0,50.0,8.192,24.58,128.0,384
174,AMD,GlobalFoundries,GCN 4.0,6,2016,1658.0,4096.0,GDDR5,128,1295.0,1500.0,14.0,2200.0,21.4,103.0,65.0,20.72,51.8,512.0,640
175,AMD,TSMC,GCN 5.1,8,2018,13440.0,16384.0,HBM2,4096,1400.0,1000.0,7.0,13230.0,40.0,331.0,475.0,112.0,420.0,4096.0,4096
176,AMD,TSMC,RDNA 1.0,9,2019,4632.0,3072.0,GDDR6,96,1327.0,1750.0,7.0,6400.0,40.5,158.0,130.0,52.64,144.8,2048.0,1536
177,AMD,TSMC,RDNA 1.0,9,2019,5196.0,4096.0,GDDR5,128,1670.0,1750.0,7.0,6400.0,40.5,158.0,130.0,59.04,162.4,2048.0,1536
178,AMD,TSMC,RDNA 1.0,9,2019,5196.0,4096.0,GDDR6,128,1500.0,1750.0,7.0,6400.0,40.5,158.0,130.0,59.04,162.4,2048.0,1536
179,AMD,TSMC,RDNA 1.0,9,2019,5196.0,4096.0,GDDR6,128,1607.0,1750.0,7.0,6400.0,40.5,158.0,130.0,59.04,162.4,2048.0,1536
180,AMD,TSMC,RDNA 1.0,9,2019,6390.0,6144.0,GDDR6,192,1130.0,1500.0,7.0,10300.0,41.0,251.0,225.0,99.84,199.7,8192.0,2560
